量	閉形式・真値	実測	備考
注意の行和	1	ずれ 2.2e-16	64 行
マスク位置の重み	0	0.0e+00	厳密
因果の非ゼロ数	T(T+1)/2 = 2080	2080	整数で一致
窓の非ゼロ数	Σ min(i+1,W) = 540	540	整数で一致
タイル + online softmax	一括と同じ	最悪 1.3e-15	7 通りのタイル
★タイル数で誤差が積もる	比例するはず	1.1 倍	外した予言
(QK^T)V == Q(K^T V)	0	1.2e-15	結合則
線形との速度比 (T=1024)	T/d = 16	13.6 倍	ほぼ式どおり
★同 (T=2048)	T/d = 32	13.8 倍	外した予言(帯域律速)
未来を書き換えたときの前半	0	0.0e+00	後半は 0.403
KV Cache の逐次	一括と同じ	5.9e-16	64 歩
置換同変(位置符号なし)	0	4.4e-16	RoPE で 0.018
RoPE のノルム保存	0	4.4e-16	回転だから
RoPE の相対位置	0	1.1e-15	絶対位置 40 通り
GQA == MHA / MQA	0	0.0e+00 / 0.0e+00	両端で厳密
RMS 正規化	1	ずれ 2.2e-16	eps=1e-6 で 1.5e-04
注意で潰れる対比	-	35.4 倍	凸結合の代償
★途中経過は単調に近づく	単調のはず	単調でない	外した予言
素の exp が壊す行	-	15 / 64 行	最大値を引けば 0
op 名を名乗る誤り	8 通り	8 通り	全部
