sigma,win,枠 ms,選ばれた帯域 Hz,共振を含む,帯域内割合,顕著さ,判定
0.2,32,1.25,2400-4000,はい,0.668,130.6,OK
0.2,64,2.50,2000-2800,いいえ,0.314,55.2,OK
0.2,128,5.00,2400-2800,いいえ,0.261,59.2,OK
0.2,256,10.00,4700-4900,いいえ,0.091,3.0,NG
1.0,32,1.25,2400-4000,はい,0.369,17.4,OK
1.0,64,2.50,2800-3600,はい,0.276,18.1,OK
1.0,128,5.00,3000-3400,はい,0.197,13.4,OK
1.0,256,10.00,4700-4900,いいえ,0.116,3.2,NG
2.0,32,1.25,2400-4000,はい,0.343,5.2,OK
2.0,64,2.50,200-800,いいえ,0.206,3.5,NG
2.0,128,5.00,6800-7200,いいえ,0.168,3.0,NG
2.0,256,10.00,4700-4900,いいえ,0.118,3.2,NG
