条件	規則	IoU	適合率	再現率	偽占有	見逃し	偽占有の距離中央値	2 セル超の割合
誤差なし	max	0.7033	0.7300	0.9505	135	19	0.200 m	0.081
誤差なし	mean	0.7591	0.8073	0.9271	85	28	0.200 m	0.129
誤差なし	weight	0.7574	0.8054	0.9271	86	28	0.200 m	0.128
yaw 1.00 度	max	0.6583	0.7670	0.8229	96	68	0.200 m	0.115
yaw 1.00 度	mean	0.6600	0.8125	0.7786	69	85	0.200 m	0.159
yaw 1.00 度	weight	0.6762	0.8143	0.7995	70	77	0.200 m	0.157
並進 150 mm(横)	max	0.6554	0.7360	0.8568	118	55	0.200 m	0.119
並進 150 mm(横)	mean	0.6928	0.8092	0.8281	75	66	0.200 m	0.173
並進 150 mm(横)	weight	0.6898	0.8051	0.8281	77	66	0.200 m	0.169
時刻ずれ 40 ms	max	0.6218	0.7218	0.8177	121	70	0.200 m	0.025
時刻ずれ 40 ms	mean	0.6411	0.8280	0.7396	59	100	0.200 m	0.034
時刻ずれ 40 ms	weight	0.6682	0.8219	0.7812	65	84	0.200 m	0.031
