条件	方法	θ [deg]	dy [px]	dx [px]	残留 [px]	偽陽性 [px]	IoU	新設(建物)	消失(伐採)	水域拡大
ずれ+回転	ゼロ点	-	-	-	1.606	3573	0.198	0.88	0.31	0.92
ずれ+回転	位相相関(3-D 経路、整数)	+0.000	+1.000	-1.000	0.718	995	0.413	1.00	0.30	0.96
ずれ+回転	PIV 相互相関→剛体	+0.380	+1.265	-0.779	0.048	0	0.674	1.00	0.34	1.00
ずれ+回転	特徴点→RANSAC→Procrustes	+0.335	+1.368	-0.845	0.127	0	0.672	1.00	0.34	1.00
ずれ+回転	密な LK フロー→頑健 LS	+0.400	+1.313	-0.788	0.017	0	0.673	1.00	0.34	1.00
ずれ+回転+照明差	ゼロ点	-	-	-	1.606	3555	0.198	0.88	0.31	0.92
ずれ+回転+照明差	位相相関(3-D 経路、整数)	+0.000	+1.000	-1.000	0.718	979	0.415	1.00	0.30	0.96
ずれ+回転+照明差	PIV 相互相関→剛体	+0.380	+1.264	-0.779	0.049	0	0.672	1.00	0.34	1.00
ずれ+回転+照明差	特徴点→RANSAC→Procrustes	+0.349	+1.394	-0.804	0.118	0	0.675	1.00	0.33	1.00
ずれ+回転+照明差	密な LK フロー→頑健 LS	+0.259	+1.421	-0.929	0.275	33	0.660	1.00	0.34	0.99
ずれ+回転+強い雑音	ゼロ点	-	-	-	1.606	5698	0.145	0.91	0.34	0.93
ずれ+回転+強い雑音	位相相関(3-D 経路、整数)	+0.000	+1.000	-1.000	0.718	3045	0.236	1.00	0.34	0.96
ずれ+回転+強い雑音	PIV 相互相関→剛体	+0.374	+1.319	-0.792	0.046	951	0.430	1.00	0.35	0.99
ずれ+回転+強い雑音	特徴点→RANSAC→Procrustes	+0.287	+1.473	-0.518	0.360	1395	0.370	1.00	0.35	0.99
ずれ+回転+強い雑音	密な LK フロー→頑健 LS	+0.409	+1.322	-0.789	0.027	956	0.431	1.00	0.35	0.99
