主張	測った量	実測	真値 / 期待
零点 3(3 位)	巻き数	+3	+3
零点 2 + 極 1	巻き数	+1	+1
極 2	巻き数	-2	-2
窓の外の零点(対照群)	巻き数	+0	+0
1 位の零点	色相の巻き数	+1.0000	+1
2 位の零点	色相の巻き数	+2.0000	+2
3 位の零点	色相の巻き数	+3.0000	+3
2 位の極	色相の巻き数	-2.0000	-2
2 次(Cayley)	半平面と一致した画素	262144	262144
3 次(フラクタル)	共役対称は厳密	はい	はい
境界画素(同じ格子)	2 次 → 3 次	1026 → 13348	13 倍
主カージオイド + 周期 2 球	反例	0 件	0 件
閉形式が覆う割合	残った画素に対して	90.1 %	< 100 %(下界)
c = 0 のジュリア集合	充填集合 = 閉単位円板	内 ○ / 外 ○	○ / ○
翼の外は正則か	CR 残差(反転)	2.06e-04	≈ 0
行の向きを間違えると	CR 残差(そのまま)	1.999951	2 − 床(共役)
循環は経路に依らない	外周 / 内周	-3.0263 / -3.0263	−Γ = -3.0263
クッタ条件	後縁の速さ(1e-5 まで寄る)	0.89	循環 0 なら 22020
揚力係数 / 薄翼理論	迎角によらず一定	1.0937	a/b = 1.0937
