間隔 d,手法,RMSE [°C],ピーク誤差 [°C],位置誤差 [m],見失い,偽の峰
0.50 (2448 本),ゼロ点(全センサの平均),2.191,-12.88,—,3,0
0.50 (2448 本),最近傍,0.531,-1.89,0.212,0,0
0.50 (2448 本),線形(Delaunay),0.334,-2.28,0.212,0,0
0.50 (2448 本),RBF(薄板スプライン),0.176,-1.70,0.212,0,0
0.80 (600 本),ゼロ点(全センサの平均),2.197,-12.77,—,3,0
0.80 (600 本),最近傍,0.715,-5.43,0.150,2,0
0.80 (600 本),線形(Delaunay),0.568,-5.54,0.660,2,0
0.80 (600 本),RBF(薄板スプライン),0.328,-5.11,0.187,2,0
1.20 (140 本),ゼロ点(全センサの平均),2.193,-13.03,—,3,0
1.20 (140 本),最近傍,0.997,-6.53,0.122,2,0
1.20 (140 本),線形(Delaunay),0.877,-6.53,0.122,2,0
1.20 (140 本),RBF(薄板スプライン),0.742,-6.51,0.255,2,0
