対象	量	真値	実測	備考
無限ズーム	1 周後との差	0(厳密)	0.0e+00	色の巡回が深さの巡回と噛み合う
無限ズーム	中身のあるコマ	24	24	★「一致」が空から出ていないことを別に数える
空隙の深さ	閉形式 vs 逐次判定	0 不一致	0 不一致	D = 12 / 20 / 26 の 3 通り
fractal_dimension	ズーム 6 段の標準偏差	0(尺度不変)	0.0e+00	6 段とも 1.584962500721
fractal_dimension	箱数次元	log2(3) = 1.5849625007	1.5849625007	差 8.9e-16 —— 近似ではない
fractal_dimension	画素より細かい近似	(測れない)	0.0	★0.0 は「構造が無い」ではない。前景 0 画素
立体回転(角度)	2π 後との法線差	0(厳密)	1.40e-12	sin(2π) = -2.4e-16 なので閉じない
立体回転(添字)	同上	0(厳密)	0.0e+00	周期は角度でなく整数の剰余で閉じる
厳密な立方体	閉形式との残差	0(正射影)	0.0040	距離 6 の 0.1283 が 1/r で落ちる。以降は量子化
厳密な立方体	最大 / 最小	sqrt(2) = 1.4142	1.4167	45 度で最大になる
marching cubes の立方体	最大 / 最小	sqrt(2) = 1.4142	1.3958	★届かない。面取りされていて立方体でない
ジャイロイド	2 つの迷路の体積比	0.5(奇対称)	0.500000000000	絵を見ずに決まる
メッシュ	回転による体積の変化	0(不変)	0	同じ動画からシルエットは 9216〜13056 px と変わる
