対象,量,真値,実測,備考
繊維,|p| − 1(S³ の上か),0,2.2e-16,4 通りの緯度
繊維,S² 上の広がり,0(1 点に落ちる),1.1e-15,★4 次元の円が 2 次元の点に
立体射影した繊維,円からの残差,0(ヴィラルソー円),1.4e-14,`fit_circle_3d` で
同上,平面からの外れ,0,3.5e-15,同上
2 本の繊維,絡み数,1(整数),5.3e-05 のずれ,4 通りの組
同上,分割を 2 倍にしたとき,誤差が 1/4(1/n²),比 4.01 / 4.00 / 4.00 / 4.00,★収束の次数まで予言
4 次元の回転,R×(R の転置) − I,0,2.1e-17,
同上,det,1,1.000000000000000,
超立方体,V − E + F − C,0(整数),0,16 / 32 / 24 / 8
同上,超体積(一辺 2),16,16.000000000000000,
二重回転(有理比),60 歩で戻る差,0,0.0e+00,★整数の剰余で閉じる
二重回転(無理比),最小の隔たり,0 にならない,0.0257,"刻み 400 で 20,000 歩まで回して"
管の体積,B との差の断面依存,0(独立),7.8e-16,★誤差が 2 つに分かれる
同上,断面の効果,1/m²,比 3.99 / 4.00,閉形式どおり
同上,中心線の効果,1/n² のはずだった,比 2.09 / 4.15,★外れ。1/n だった
