系,主張,実測,真値
elementary_ca_rule90,"row_n == C(n,k) mod 2",0.00e+00,0(厳密)
langtons_ant,"highway repeats the same diagonal (2,2) step every 104",0.00e+00,0(厳密)
langtons_ant_growth,highway adds exactly 12 cells per 104 steps,0.00e+00,0(厳密)
apollonian,(sum k)^2 == 2 sum k^2,1.19e-16,0(厳密)
apollonian_tangency,every generated circle touches its 3 parents,9.20e-07,0(厳密)
flow_field,div(curl psi) == 0,6.95e-17,0(厳密)
reaction_diffusion,total mass conserved when feed=kill=0,1.98e-16,0(厳密)
plasma,corner values are never overwritten,0.00e+00,0(厳密)
illusion(12 枚),目が否定する不変量,0.0e+00,0(厳密)
loop(4 種),最後のまたぎ ÷ ふつうのまたぎ,0.997 〜 1.041,1(継ぎ目なし)
langtons_ant,高速道路の傾き[マス/歩],0.114,0.5(104 歩で 52 マス)
