主張	測った量	実測	真値 / 期待
平方和の分解	SS の加法性	相対差 1e-16	恒等式(厳密)
ゲージ R&R	EV / AV / GRR / PV	0.199933 / 0.226838 / 0.302372 / 1.042327	公表 0.199933 / 0.226838 / 0.302373 / 1.042327
モデル選択	EV(残す vs 畳む)	0.214435 vs 0.199933	7.3 % 動く(交互作用 p = 0.9741)
推定の揺れ	EV の標準偏差(種 40 本)	0.00776	理論 σ/√(2df) = 0.00913
負の分散成分	真値 0 で負になる回数	40 本中 24 本	稀な端ではなく多数派
カッパ	一致率 vs カッパ(合格率 0.95)	0.920 vs 0.101	独立な判定なので κ ≈ 0 が正しい
相関	u_c(R) 相関あり → なし	0.0702 → 0.1945	2.8 倍の**過大**(向きは一定でない)
有効自由度	ν_eff → 切り捨て → k	16.64 → 16 → 2.1199	公表 16.7 → 16 → 2.12
伝播則の破綻	x₁=0 の区間	[0, 0]e-6	モンテカルロは [0, 150]e-6
厳密解	矩形和の 95 % 半幅	3.880434	Irwin-Hall 3.879407 / 伝播則 3.919928
