項目,真値,合わせない,床+2 壁,全体 ICP,偽の誤差,許容,判定 真/ICP
東西の壁の傾き [mrad],+3.00,+2.83,+1.47,+2.06,+0.01,±2.5,不合格 / 合格
南北の壁の開き [mrad],+2.50,+2.47,+2.50,+2.46,-0.03,±2.5,合格 / 合格
床の勾配 [mrad],-1.50,-1.39,+0.18,-0.62,+0.00,±1.0,不合格 / 合格
天井の勾配 [mrad],+0.00,+0.12,+1.69,+0.89,-0.02,±1.0,合格 / 合格
床の平面度 PV [mm],+12.00,+18.44,+18.45,+18.44,+4.89,±7.0,不合格 / 不合格
床の平面度 RMS [mm],+3.54,+5.38,+5.18,+5.38,+2.03,±3.5,不合格 / 不合格
柱 A の半径の狂い [mm],+6.50,+6.68,+6.68,+6.68,+0.22,±5.0,不合格 / 不合格
柱 B の半径の狂い [mm],-4.00,-4.23,-4.56,-4.53,-0.51,±5.0,合格 / 合格
窓の高さのずれ [mm],+25.00,+25.78,+34.18,+30.41,-0.17,±20.0,不合格 / 不合格
戸の位置のずれ [mm],+18.00,+19.32,+18.94,+18.12,-0.54,±20.0,合格 / 合格
