集団	N	偏り	散らばり	中央	95 %	最悪
一様・孤立(全体)	24	0.0000	0.1630	0.0507	0.3714	0.5889
うち暗い 1/3	8	0.0814	0.2155	0.1126	0.4397	0.5889
うち中位 1/3	8	0.0617	0.1431	0.0526	0.3014	0.4083
うち明るい 1/3	8	0.0254	0.0415	0.0426	0.0734	0.0774
うち視野中心 1/3	8	0.0301	0.0648	0.0426	0.1333	0.1512
うち中間 1/3	8	0.0431	0.1541	0.0479	0.3223	0.4083
うち視野外側 1/3	8	0.0540	0.2147	0.0853	0.4266	0.5889
密集星団	4	0.4068	1.4776	1.3434	2.1615	2.2935
二重星	4	0.3465	0.5569	0.5871	0.9495	0.9812
飽和星	3	0.0326	0.0373	0.0532	0.0532	0.0532
全部まぜて 1 つの数字に	35	0.0489	0.5776	0.0575	1.3154	2.2935
一様・孤立(1 個抜き)	24	0.0009	0.1812	0.0559	0.4085	0.6614
