条件,値
床(量子化 + NETD の往復 rms),2.71e-02 K
ゼロ点: DN を線形に温度と呼ぶ(ε=0.95),-12.15 K
ゼロ点: ε=1 固定(ε=0.95 / 0.10),-2.12 / -44.0 K
ゼロ点: 反射項を落とす(ε=0.10),+244.12 K
Δε/ε=5 % の温度誤差(LWIR 305 K → 800 K),0.23 → 16.91 K
同(周囲からの上昇に対する比),4.7 → 3.4 %
Δε=0.02 の温度誤差(ε=0.95 / 0.10),0.87 / 7.18 K
包含率(ρ=0 の床): RSS / MC,95.03 / 94.52 %
包含率(ρ=+0.7): RSS / MC,88.03 / 94.44 %
RSS の取りこぼし(下側 / 上側),7.14 / 4.83 %
誤合格率(無視 / RSS / MC),8.03 / 0.81 / 0.14 %
誤不合格率(無視 / RSS / MC),6.69 / 28.22 / 40.03 %
単位の取り違え(例外 / 静かに間違う),3 / 5 件
熱画像: 同温のボルトが周りより低く見える量,62.3 K
