主張	測った量	実測	真値 / 期待
RK4 の次数	刻み半分での誤差の比	16.0 / 16.0 / 16.0	16(4 次)
オイラーの次数	同じ刻みでの誤差	2.02e-02	RK4 は 3.33e-10(桁が違う)
★トレース恒等式	Σλ − (−(σ+1+β))	2.57e-06	0(厳密)
最大リアプノフ指数	λ₁	0.9142	0.906(公表値)
保存系(対照群)	調和振動子の Σλ	4.87e-15	0
1 本目の分岐点	r	2.999401	3(厳密)
2 本目の分岐点	r	3.449260	1+√6 = 3.449490(厳密)
ファイゲンバウム δ	(r₂−r₁)/(r₃−r₂)	4.7485	4.6692(残差は burn-in・伸ばすと 10.9 倍縮む)
相関次元	円 / 平面 / カントール	1.0061 / 1.8789 / 0.6408	1 / 2 / 0.6309
ローレンツの次元	相関次元	1.9327	2.05(公表値)。★既定の半径の窓では低く出る
★場の発散	既存 piv_divergence の実測 vs tr(A)	-0.600000 / -0.600000	一致(4 通りすべて 1e-6 未満)
場の渦度	既存 piv_vorticity vs A₁₀−A₀₁	+5.000000 / +5.000000	一致
ポアンカレ断面	周期軌道 / カオスのばらつき	9.9e-08 / 6.120	0 / 広がる
管メッシュ	体積 / 2π²Rr²	0.99667	1(解析解・既存 mesh_volume が測る)
管メッシュ	面積 / 4π²Rr	0.99928	1(解析解)
★極小曲面	|H| 中央値(4 種で最大)	0.00014	0(定義)
対照群	球 / 円柱の |H|	1.00004 / 0.50000	1.0 / 0.5(極小ではない)
等長な曲げ	面積の振れ幅	17.6738 〜 17.6756	変わらない
ジャイロイド	体積比(48³ / 64³ / 96³)	0.4999 / 0.5000 / 0.5000	0.5(対称性)
★節面近似の残差	|H| / 主曲率スケール	0.1250	0 ではない(厳密な極小曲面ではないと明記)
