量	閉形式・真値	実測	備考
モードの数 (n≤6)	(n+1)(n+2)/2	28	厳密
R_n^m(1)	1	1	28 本すべて
半径方向の零点	(n−|m|)/2	一致	28 本すべて
直交性(対角)	π/(2(n+1))(1+δ_m0)	相対差 4.9e-06	刻みで決まる
直交性(非対角)	0	5.5e-07	0 であるべき量
既定の当てはめの漏れ	op の開示 ~10%	0.0980	開示どおり
★外周 1 本を捨てる	-	0.000259	379 倍
解像度 8 倍(計算 64 倍)	-	5.1 倍	買えるのはこれだけ
回転での振幅のずれ	0	1.1e-16	厳密に不変
絵から読み返した振幅の幅	0	2.0e-09	3 通りの回転
第 1 暗環	1.219670 λ/D	1.220027	ずれ 3.6e-04
線形補間で読んだ第 1 暗環	-	ずれ最悪 1.1e-02	3 次の 30 倍
無収差のストレール比	1	1.000000000000	厳密
マレシャルのずれの開き	-	2308 倍	RMS 0.02→0.18 波
干渉縞が消える半径	1/√2 = 0.70711	0.70462	ずれ 2.5e-03
偶数 m の k=|m|	0	0.00050	厳密に消える
偶数 m の k=2|m|	-	0.0221 以上	2 次から立つ
半分にしたときの比(奇数 m)	2(1 次)	2.06	コマ
半分にしたときの比(偶数 m)	4(2 次)	3.67	非点収差
極座標の拾い方の偽信号	0	最近傍 0.01489 / 双一次 0.00058	26 倍
外側の輪の階調(線形)	-	1 段	完全な黒
外側の輪の階調(asinh)	-	66 段	輪が出る
asinh が保つ順位	全部	4998 組	入れ替わり 0
